question,answer,is_augmented
Who is the patient of Liam O'Connor?,Malik Johnson,False
Which patient belongs to Liam O'Connor?,Malik Johnson,False
Who does Liam O'Connor treat?,Malik Johnson,False
Who is the individual receiving care from Liam O'Connor?,Malik Johnson,False
Who is the friend of Warren Lyons?,Willow Byrd,False
Who can be identified as Warren Lyons's friend?,Willow Byrd,False
Who is considered to be a friend of Warren Lyons?,Willow Byrd,False
Who counts as a friend of Warren Lyons?,Willow Byrd,False
Who works for Scarlett West?,Tristan Lowe,False
Who is employed by Scarlett West?,Tristan Lowe,False
Who is the staff member of Scarlett West?,Tristan Lowe,False
Who is part of Scarlett West's team?,Tristan Lowe,False
Who is the patient of Akira Tanaka?,Dakota Barnes,False
Who does Akira Tanaka treat as a patient?,Dakota Barnes,False
Who is the individual receiving care from Akira Tanaka?,Dakota Barnes,False
Who is under the care of Akira Tanaka?,Dakota Barnes,False
Who works for Audrey Cooper?,Amelia Clarke,False
Who is employed by Audrey Cooper?,Amelia Clarke,False
Who is on Audrey Cooper's staff?,Amelia Clarke,False
Who is an employee of Audrey Cooper?,Amelia Clarke,False
Who is the friend of Isaac Cohen?,Christian Perry,False
Who counts as a friend to Isaac Cohen?,Christian Perry,False
Can you tell me who Isaac Cohen's friend is?,Christian Perry,False
Who can be identified as a friend of Isaac Cohen?,Christian Perry,False
Who is the brother of Aleksandra Ivanova?,Gabriel Carter,False
Can you tell me the name of Aleksandra Ivanova's brother?,Gabriel Carter,False
Who is the sibling of Aleksandra Ivanova?,Gabriel Carter,False
What is the name of Aleksandra Ivanova's male sibling?,Gabriel Carter,False
Who works for Hazel Morris?,Elliot Peterson,False
Who is employed by Hazel Morris?,Elliot Peterson,False
Which person is an employee of Hazel Morris?,Elliot Peterson,False
Who is the staff member under Hazel Morris?,Elliot Peterson,False
Who is the offspring of Helena Novak?,Henry Flores,False
What is the name of Helena Novak's child?,Henry Flores,False
Can you tell me who Helena Novak's kid is?,Henry Flores,False
Who does Helena Novak have as a child?,Henry Flores,False
Who is the researcher associated with Javier Hernandez?,Zane Weaver,False
Who conducts research for Javier Hernandez?,Zane Weaver,False
Who is the individual researching for Javier Hernandez?,Zane Weaver,False
Who is the researcher that works with Javier Hernandez?,Zane Weaver,False
Who is the grandchild of Nikolai Sokolov?,Darius Jackson,False
Can you tell me the name of Nikolai Sokolov's grandchild?,Darius Jackson,False
Who is the descendant of Nikolai Sokolov in the grandchild generation?,Darius Jackson,False
What is the name of the grandchild belonging to Nikolai Sokolov?,Darius Jackson,False
Who is the patient of Bob Williams?,Autumn Price,False
Who is the individual that Bob Williams is treating?,Autumn Price,False
Can you tell me who Bob Williams's patient is?,Autumn Price,False
Who is under the care of Bob Williams?,Autumn Price,False
Who serves as the sailor for Elena Popova?,Irene Papadopoulos,False
Who is the sailor associated with Elena Popova?,Irene Papadopoulos,False
Whom does Elena Popova refer to as her sailor?,Irene Papadopoulos,False
Who acts as the sailor in relation to Elena Popova?,Irene Papadopoulos,False
Who works for Tatiana Orlova?,Samuel Parks,False
Who is employed by Tatiana Orlova?,Samuel Parks,False
Who is Tatiana Orlova's staff member?,Samuel Parks,False
Who is the person that works for Tatiana Orlova?,Samuel Parks,False
Who is the subject of Robert Hayes?,Florence Baker,False
Who does Robert Hayes focus on?,Florence Baker,False
Whom does Robert Hayes write about?,Florence Baker,False
Who is the focus of Robert Hayes's work?,Florence Baker,False
Who is the student of Dominic Carter?,Selena Rivera,False
Who is the pupil of Dominic Carter?,Selena Rivera,False
Who is the individual studying under Dominic Carter?,Selena Rivera,False
Who is the learner associated with Dominic Carter?,Selena Rivera,False
Who works for Winter Ball?,Yara Stanton,False
Who is the staff member at Winter Ball?,Yara Stanton,False
Who is employed by Winter Ball?,Yara Stanton,False
Who serves as an employee at Winter Ball?,Yara Stanton,False
Who is the student of Stefan Nowak?,Esther Lee,False
Which student belongs to Stefan Nowak?,Esther Lee,False
Who is the pupil of Stefan Nowak?,Esther Lee,False
Whom does Stefan Nowak teach?,Esther Lee,False
Who is the friend of Xavier Poole?,Marcus Davis,False
Who is Xavier Poole's companion?,Marcus Davis,False
Can you tell me who Xavier Poole's friend is?,Marcus Davis,False
Who counts as a friend to Xavier Poole?,Marcus Davis,False
Who is the patient of Victor Norman?,Hannah Parker,False
Whom does Victor Norman treat?,Hannah Parker,False
Who is the individual under Victor Norman's care?,Hannah Parker,False
Which patient is associated with Victor Norman?,Hannah Parker,False
Who is the patient of Zayd Abdullah?,Violet Day,False
Who does Zayd Abdullah treat as a patient?,Violet Day,False
Can you tell me the name of Zayd Abdullah's patient?,Violet Day,False
Whom does Zayd Abdullah have as a patient?,Violet Day,False
Who is the student of Amir Zaidi?,Sofia Vasquez,False
Who is the pupil of Amir Zaidi?,Sofia Vasquez,False
Which student belongs to Amir Zaidi?,Sofia Vasquez,False
Who studies under Amir Zaidi?,Sofia Vasquez,False
What is the name of Lifen Qiu's brother?,James Romero,False
Can you tell me who Lifen Qiu's brother is?,James Romero,False
Who is the brother of Lifen Qiu?,James Romero,False
Do you know the identity of Lifen Qiu's brother?,James Romero,False
Who is the mentee of Theodore Hayes?,Julia Mason,False
Who does Theodore Hayes mentor?,Julia Mason,False
Can you tell me the name of Theodore Hayes's mentee?,Julia Mason,False
Who is being mentored by Theodore Hayes?,Julia Mason,False
Who is the child of Maya Patel?,Austin Hayes,False
Who is the offspring of Maya Patel?,Austin Hayes,False
Can you tell me the name of Maya Patel's child?,Austin Hayes,False
Who is the kid belonging to Maya Patel?,Austin Hayes,False
Who is the client of Lucia Rodriguez?,Mateo Gonzalez,False
Which client does Lucia Rodriguez represent?,Mateo Gonzalez,False
Who is the individual that Lucia Rodriguez is working with?,Mateo Gonzalez,False
Can you tell me the name of Lucia Rodriguez's client?,Mateo Gonzalez,False
Who is the patient of Bianca Rossi?,Theodore Fleming,False
Who does Bianca Rossi provide care for?,Theodore Fleming,False
Which patient is associated with Bianca Rossi?,Theodore Fleming,False
Who is under the care of Bianca Rossi?,Theodore Fleming,False
Who works for Zara Hussein?,Gemma Edwards,False
Who is employed by Zara Hussein?,Gemma Edwards,False
Who is on Zara Hussein's staff?,Gemma Edwards,False
Who is Zara Hussein's staff member?,Gemma Edwards,False
Who works for Aaron Goldstein?,Quinn Bowman,False
Who is employed by Aaron Goldstein?,Quinn Bowman,False
Who is the employee of Aaron Goldstein?,Quinn Bowman,False
Who is on Aaron Goldstein's staff?,Quinn Bowman,False
Who works for Jinhai Ruan?,Alexander Reed,False
Who is employed by Jinhai Ruan?,Alexander Reed,False
Who is the staff member of Jinhai Ruan?,Alexander Reed,False
Who holds a position with Jinhai Ruan?,Alexander Reed,False
Who is the grandchild of Rosa Sanchez?,Yvette Pittman,False
Who is the grandchild belonging to Rosa Sanchez?,Yvette Pittman,False
Can you tell me the name of Rosa Sanchez's grandchild?,Yvette Pittman,False
Who qualifies as the grandchild of Rosa Sanchez?,Yvette Pittman,False
Who is the focus of Kai Nakamura's work?,Brianna Ross,False
Whom does Kai Nakamura study?,Brianna Ross,False
Who is the main subject of Kai Nakamura?,Brianna Ross,False
What individual is Kai Nakamura's subject?,Brianna Ross,False
Who is the sailor associated with Paulo Silva?,Yasmin Malik,False
Who is the person sailing with Paulo Silva?,Yasmin Malik,False
Who is the sailor that belongs to Paulo Silva?,Yasmin Malik,False
Who sails alongside Paulo Silva?,Yasmin Malik,False
Who is the patient of Jade Myers?,Miguel Reyes,False
Who is the individual receiving care from Jade Myers?,Miguel Reyes,False
Who does Jade Myers treat as a patient?,Miguel Reyes,False
Whom does Jade Myers have as a patient?,Miguel Reyes,False
Who works for Chloe Wood?,Delia Morales,False
Who is employed by Chloe Wood?,Delia Morales,False
Who is on Chloe Wood's staff?,Delia Morales,False
Who is part of Chloe Wood's team?,Delia Morales,False
Who works for Xander Brooks?,Raymond Gardner,False
Who is employed by Xander Brooks?,Raymond Gardner,False
Who is the staff member of Xander Brooks?,Raymond Gardner,False
Who holds a position under Xander Brooks?,Raymond Gardner,False
Who is the student of Victor Mendoza?,Brandon Bell,False
Who is the student that belongs to Victor Mendoza?,Brandon Bell,False
Which student is associated with Victor Mendoza?,Brandon Bell,False
Who is the individual studying under Victor Mendoza?,Brandon Bell,False
Who is the patient of Imani Jefferson?,Daniel Long,False
Whom does Imani Jefferson treat as a patient?,Daniel Long,False
Can you tell me the name of Imani Jefferson's patient?,Daniel Long,False
Who is the individual receiving care from Imani Jefferson?,Daniel Long,False
Who is the mentee of Meihui Zhu?,Ethan Robertson,False
Who does Meihui Zhu mentor?,Ethan Robertson,False
Can you tell me the name of Meihui Zhu's mentee?,Ethan Robertson,False
Who is being mentored by Meihui Zhu?,Ethan Robertson,False
Who is the friend of Richard Garcia?,Julian Arnold,False
Who is Richard Garcia's companion?,Julian Arnold,False
Can you tell me who Richard Garcia's friend is?,Julian Arnold,False
Who counts as a friend to Richard Garcia?,Julian Arnold,False
Who is the mentee of Sebastian Müller?,Wyatt Hill,False
Who holds the position of mentee under Sebastian Müller?,Wyatt Hill,False
Can you tell me who Sebastian Müller's mentee is?,Wyatt Hill,False
Who is the individual being mentored by Sebastian Müller?,Wyatt Hill,False
Who is the client of Elizabeth Sanders?,Valentina Romano,False
Which client is associated with Elizabeth Sanders?,Valentina Romano,False
Can you tell me who Elizabeth Sanders’s client is?,Valentina Romano,False
Who does Elizabeth Sanders represent as a client?,Valentina Romano,False
Who works for Ruby Lambert?,Quinn Morgan,False
Who is employed by Ruby Lambert?,Quinn Morgan,False
Who is the staff member of Ruby Lambert?,Quinn Morgan,False
Who holds a position under Ruby Lambert?,Quinn Morgan,False
Who is the person being mentored by Genevieve Lambert?,Ryan Newman,False
Who is the mentee of Genevieve Lambert?,Ryan Newman,False
Can you tell me the name of Genevieve Lambert's mentee?,Ryan Newman,False
Who is the individual that Genevieve Lambert is mentoring?,Ryan Newman,False
Who is the athlete associated with Thomas Norton?,Delaney Fisher,False
Which athlete is linked to Thomas Norton?,Delaney Fisher,False
Who does Thomas Norton represent as an athlete?,Delaney Fisher,False
Can you tell me the name of Thomas Norton's athlete?,Delaney Fisher,False
Who is the mentee of Ezra Mitchell?,Wren Yates,False
Who does Ezra Mitchell mentor?,Wren Yates,False
Which individual is mentored by Ezra Mitchell?,Wren Yates,False
Who is under the mentorship of Ezra Mitchell?,Wren Yates,False
Who is the student of Wyatt Patton?,Kwame Osei,False
Who is the individual studying under Wyatt Patton?,Kwame Osei,False
Which student belongs to Wyatt Patton?,Kwame Osei,False
Who studies with Wyatt Patton?,Kwame Osei,False
Who is the student of Eden Rivera?,Carmen Diaz,False
Who is the pupil belonging to Eden Rivera?,Carmen Diaz,False
Can you tell me the name of Eden Rivera's student?,Carmen Diaz,False
Who is the individual studying under Eden Rivera?,Carmen Diaz,False
Who works for Emery Gray?,Vincent Walsh,False
Who is employed by Emery Gray?,Vincent Walsh,False
Who is on Emery Gray's staff?,Vincent Walsh,False
Who is the employee of Emery Gray?,Vincent Walsh,False
Who is the child of Sebastian Holt?,Luna Porter,False
Who is the offspring of Sebastian Holt?,Luna Porter,False
Who does Sebastian Holt have as a child?,Luna Porter,False
What is the name of Sebastian Holt's child?,Luna Porter,False
Who is the client of Hiroshi Nakamura?,Priya Patel,False
Which client is associated with Hiroshi Nakamura?,Priya Patel,False
Can you tell me who Hiroshi Nakamura's client is?,Priya Patel,False
Who does Hiroshi Nakamura represent as a client?,Priya Patel,False
Who is the friend of Oliver Bennett?,Karina Alvarez,False
Who counts as a friend to Oliver Bennett?,Karina Alvarez,False
Who is considered a friend by Oliver Bennett?,Karina Alvarez,False
Who does Oliver Bennett call his friend?,Karina Alvarez,False
Who works for Wesley Clark?,Sakura Watanabe,False
Who is employed by Wesley Clark?,Sakura Watanabe,False
Who is on Wesley Clark's staff?,Sakura Watanabe,False
Who holds a position under Wesley Clark?,Sakura Watanabe,False
Who is the child of Lina Bishara?,Penelope Shaw,False
Who is the offspring of Lina Bishara?,Penelope Shaw,False
Can you tell me who Lina Bishara's kid is?,Penelope Shaw,False
Who does Lina Bishara have as a child?,Penelope Shaw,False
Who is the grandchild of Dylan King?,Raj Malhotra,False
Can you tell me the name of Dylan King's grandchild?,Raj Malhotra,False
Who does Dylan King have as a grandchild?,Raj Malhotra,False
Which person is the grandchild of Dylan King?,Raj Malhotra,False
Who is the student of Grayson Collins?,Jocelyn Hicks,False
Who is the individual studying under Grayson Collins?,Jocelyn Hicks,False
Which student is associated with Grayson Collins?,Jocelyn Hicks,False
Who counts as a student of Grayson Collins?,Jocelyn Hicks,False
Who is the athlete associated with Eva Phillips?,Cadence Howard,False
Which athlete is linked to Eva Phillips?,Cadence Howard,False
Who is the sports figure representing Eva Phillips?,Cadence Howard,False
Can you tell me who Eva Phillips's athlete is?,Cadence Howard,False
Who is the athlete associated with Sophia Anderson?,Jordan Gibson,False
Which athlete is linked to Sophia Anderson?,Jordan Gibson,False
Can you tell me who Sophia Anderson's athlete is?,Jordan Gibson,False
Who represents Sophia Anderson as an athlete?,Jordan Gibson,False
Who is the researcher associated with Wallace Lynch?,David Murphy,False
Who conducts research for Wallace Lynch?,David Murphy,False
Who is the individual researching alongside Wallace Lynch?,David Murphy,False
Who is the person doing research with Wallace Lynch?,David Murphy,False
Who is the passenger accompanying Ingrid Svenson?,Angela Washington,False
Who is riding with Ingrid Svenson?,Angela Washington,False
Who is the individual traveling with Ingrid Svenson?,Angela Washington,False
Who is the person in the vehicle with Ingrid Svenson?,Angela Washington,False
Who works for Zachary Baker?,Walter Banks,False
Who is the employee of Zachary Baker?,Walter Banks,False
Who is employed by Zachary Baker?,Walter Banks,False
Who is the person that works under Zachary Baker?,Walter Banks,False
Who is the patient of Marina Petrova?,Ximena Diaz,False
Who does Marina Petrova treat as a patient?,Ximena Diaz,False
Which patient is associated with Marina Petrova?,Ximena Diaz,False
Who is the individual receiving care from Marina Petrova?,Ximena Diaz,False
Who is the researcher associated with Jack Ortiz?,Zoe Collins,False
Who is the individual conducting research for Jack Ortiz?,Zoe Collins,False
Who conducts research on behalf of Jack Ortiz?,Zoe Collins,False
Who is the researcher working with Jack Ortiz?,Zoe Collins,False
Who is the friend of Omar Hassan?,Kenji Watanabe,False
Who is Omar Hassan's companion?,Kenji Watanabe,False
Can you tell me who Omar Hassan's friend is?,Kenji Watanabe,False
Who counts as a friend to Omar Hassan?,Kenji Watanabe,False
Who is the sailor associated with Tara Wilson?,Jasmine Khan,False
Who is the sailor linked to Tara Wilson?,Jasmine Khan,False
Who is the individual that sails with Tara Wilson?,Jasmine Khan,False
Who is Tara Wilson's maritime companion?,Jasmine Khan,False
Who is the athlete associated with Chase Griffin?,Xena Rios,False
Who is the athlete linked to Chase Griffin?,Xena Rios,False
Who is the sports figure connected to Chase Griffin?,Xena Rios,False
Who does Chase Griffin represent as an athlete?,Xena Rios,False
Who is the person riding with Leo Tucker?,Ahmed Al-Farsi,False
Who accompanies Leo Tucker as a passenger?,Ahmed Al-Farsi,False
Who is traveling with Leo Tucker?,Ahmed Al-Farsi,False
Who is sitting with Leo Tucker in the vehicle?,Ahmed Al-Farsi,False
Who is the offspring of Santiago Torres?,Silas Montgomery,False
Who is the child of Santiago Torres?,Silas Montgomery,False
Can you tell me who Santiago Torres's child is?,Silas Montgomery,False
Who is the son or daughter of Santiago Torres?,Silas Montgomery,False
Who is the person riding with Yale Patton?,Sanjay Gupta,False
Who accompanies Yale Patton as a passenger?,Sanjay Gupta,False
Can you tell me who is traveling with Yale Patton?,Sanjay Gupta,False
Who is in the car with Yale Patton?,Sanjay Gupta,False
Who is the person riding with Paisley Riley?,Gabriel Thompson,False
Who accompanies Paisley Riley as a passenger?,Gabriel Thompson,False
Who is the individual in the vehicle with Paisley Riley?,Gabriel Thompson,False
Who is traveling with Paisley Riley?,Gabriel Thompson,False
Who is the patient of Alice Johnson?,Caleb Mitchell,False
Which patient belongs to Alice Johnson?,Caleb Mitchell,False
Who does Alice Johnson treat as a patient?,Caleb Mitchell,False
Can you tell me who Alice Johnson's patient is?,Caleb Mitchell,False
Who works for Felix Weber?,Wendy Castro,False
Who is employed by Felix Weber?,Wendy Castro,False
Who is the staff member of Felix Weber?,Wendy Castro,False
Who is the employee associated with Felix Weber?,Wendy Castro,False
Who is the child of Isabelle Russell?,Ella Watson,False
Who is the offspring of Isabelle Russell?,Ella Watson,False
Can you tell me who Isabelle Russell's child is?,Ella Watson,False
Who does Isabelle Russell have as a child?,Ella Watson,False
Who works for Yuki Tanaka?,Serenity Burton,False
Who is employed by Yuki Tanaka?,Serenity Burton,False
Which individual is an employee of Yuki Tanaka?,Serenity Burton,False
Who holds a position under Yuki Tanaka?,Serenity Burton,False
Who works for Caleb Jenkins?,Francisco Gomez,False
Who is employed by Caleb Jenkins?,Francisco Gomez,False
Who is on Caleb Jenkins's staff?,Francisco Gomez,False
Who is an employee of Caleb Jenkins?,Francisco Gomez,False
Who was the passenger accompanying Olivia Campbell?,Nadia Abadi,False
Who is the person riding with Olivia Campbell?,Nadia Abadi,False
Can you tell me who was in the car with Olivia Campbell?,Nadia Abadi,False
Who was Olivia Campbell's companion during the trip?,Nadia Abadi,False
Who works for Abigail Turner?,Faith Allen,False
Who is employed by Abigail Turner?,Faith Allen,False
Who is the staff member of Abigail Turner?,Faith Allen,False
Which individual is Abigail Turner’s employee?,Faith Allen,False
Who is the person traveling with Ibrahim Mahmoud?,Yasmine Graves,False
Who accompanies Ibrahim Mahmoud as a passenger?,Yasmine Graves,False
Can you tell me who is riding with Ibrahim Mahmoud?,Yasmine Graves,False
Who is the individual that is a passenger with Ibrahim Mahmoud?,Yasmine Graves,False
Who conducts research for Owen Jacobs?,Eleanor Kelly,False
Who is the researcher associated with Owen Jacobs?,Eleanor Kelly,False
Who serves as the researcher for Owen Jacobs?,Eleanor Kelly,False
Who is the individual doing research on behalf of Owen Jacobs?,Eleanor Kelly,False
Who is the patient of Sadie Holt?,Xiuying Gao,False
Who does Sadie Holt treat?,Xiuying Gao,False
Who is under the care of Sadie Holt?,Xiuying Gao,False
Which patient is associated with Sadie Holt?,Xiuying Gao,False
Who is the friend of Benjamin Foster?,Grace Stewart,False
Who is Benjamin Foster's companion?,Grace Stewart,False
Can you tell me who Benjamin Foster’s friend is?,Grace Stewart,False
Who counts as a friend for Benjamin Foster?,Grace Stewart,False
Who is the student of Zola Shannon?,Andrei Petrov,False
Who is the individual studying under Zola Shannon?,Andrei Petrov,False
Who is the pupil of Zola Shannon?,Andrei Petrov,False
Who is Zola Shannon's pupil?,Andrei Petrov,False
Who is the child of Layla Ibrahim?,Quentin Wagner,False
Who is the offspring of Layla Ibrahim?,Quentin Wagner,False
Who is Layla Ibrahim's offspring?,Quentin Wagner,False
Who is the daughter or son of Layla Ibrahim?,Quentin Wagner,False
Who is the passenger of Clara Dubois?,Ananya Sharma,False
Who is traveling with Clara Dubois?,Ananya Sharma,False
Who accompanies Clara Dubois?,Ananya Sharma,False
Who is the individual riding with Clara Dubois?,Ananya Sharma,False
Who is the patient of Fatima Ahmed?,Joseph Fowler,False
Who is the individual that Fatima Ahmed is treating?,Joseph Fowler,False
Can you tell me who Fatima Ahmed's patient is?,Joseph Fowler,False
Who is under Fatima Ahmed's care?,Joseph Fowler,False
Who is the sailor associated with Gavin Hughes?,Julia Nguyen,False
Who is the individual that sails with Gavin Hughes?,Julia Nguyen,False
Who sails alongside Gavin Hughes?,Julia Nguyen,False
Who is the person that represents Gavin Hughes in sailing?,Julia Nguyen,False
Who is the student of Parker Olsen?,Anders Johansson,False
Who is the individual studying under Parker Olsen?,Anders Johansson,False
Can you tell me the name of Parker Olsen's student?,Anders Johansson,False
Who studies with Parker Olsen?,Anders Johansson,False
Who is the friend of Elias Ward?,Samira Karim,False
Who is Elias Ward's companion?,Samira Karim,False
Can you tell me who Elias Ward's friend is?,Samira Karim,False
Who counts as a friend to Elias Ward?,Samira Karim,False
Who works for Lydia Chapman?,Xenia Cohen,False
Who is employed by Lydia Chapman?,Xenia Cohen,False
Which individual is an employee of Lydia Chapman?,Xenia Cohen,False
Who can be identified as an employee of Lydia Chapman?,Xenia Cohen,False
Who works for Diana Martinez?,Haruki Yamamoto,False
Who is employed by Diana Martinez?,Haruki Yamamoto,False
Who is the staff member of Diana Martinez?,Haruki Yamamoto,False
Who is under Diana Martinez's employment?,Haruki Yamamoto,False
Who is the nephew of Beatrice Reynolds?,Elijah Brown,False
Who is Beatrice Reynolds's sibling's son?,Elijah Brown,False
Can you tell me the name of Beatrice Reynolds's nephew?,Elijah Brown,False
Who qualifies as the nephew of Beatrice Reynolds?,Elijah Brown,False
Who is the passenger accompanying Emmett Brooks?,John Pierce,False
Who rides with Emmett Brooks?,John Pierce,False
Who is the person traveling with Emmett Brooks?,John Pierce,False
Who is Emmett Brooks's companion in the vehicle?,John Pierce,False
Who is the grandchild of Riley Barrett?,Hunter Sullivan,False
Which individual is the grandchild of Riley Barrett?,Hunter Sullivan,False
Can you tell me the name of Riley Barrett's grandchild?,Hunter Sullivan,False
Who holds the title of grandchild for Riley Barrett?,Hunter Sullivan,False
Who is the student of Luke Lawson?,June Webb,False
Which student belongs to Luke Lawson?,June Webb,False
Who counts as a student of Luke Lawson?,June Webb,False
Who is under the instruction of Luke Lawson?,June Webb,False
Who works for Rebecca Friedman?,Gabriela Fernandez,False
Who is employed by Rebecca Friedman?,Gabriela Fernandez,False
Who is Rebecca Friedman’s staff member?,Gabriela Fernandez,False
Who holds a position under Rebecca Friedman?,Gabriela Fernandez,False
Who is the researcher associated with Finn Cook?,Ethan Wright,False
Who conducts research for Finn Cook?,Ethan Wright,False
Who is the individual researching alongside Finn Cook?,Ethan Wright,False
Who is the academic working with Finn Cook?,Ethan Wright,False
Who is the student of Charlie Anderson?,Zelda Wright,False
Which student belongs to Charlie Anderson?,Zelda Wright,False
Who is the student taught by Charlie Anderson?,Zelda Wright,False
Who is the pupil of Charlie Anderson?,Zelda Wright,False
Who is the mentee of Naomi Kim?,Maria Gutierrez,False
Who does Naomi Kim mentor?,Maria Gutierrez,False
Can you tell me the name of Naomi Kim's mentee?,Maria Gutierrez,False
